regions, flu_young, sari_young, cons_young, flu_ad, sari_ad, cons_ad, flu_ag, sari_ag, cons_ag, tot_flu, tot_sari, tot_cons, t_flu, t_sari
Tunis,653,8035,16912,770,2870,9652,1720,3619,29055,3143,14524,55619,5.650946619,26.11337852
Ariana,537,0,4053,543,0,4721,1365,0,18730,2445,0,27504,8.889616056,0
Mannouba,702,387,4318,1034,402,6647,1978,966,25073,3714,1755,36038,10.30578833,4.869859593
Ben Arous,324,3454,8724,557,1352,6397,1085,2009,33256,1966,6815,48377,4.06391467,14.08727288
Bizerte,216,5574,14327,411,2858,12423,1861,7161,51607,2488,15593,78357,3.175210894,19.89994512
Nabeul,1612,10748,26176,1625,4709,16768,5153,11970,104791,8390,27427,147735,5.679087555,18.56499814
Zaghouan,705,0,8956,966,0,11464,2069,0,38200,3740,0,58620,6.38007506,0
Beja,498,1709,9119,387,486,3405,1729,943,19861,2614,3138,32385,8.071638104,9.689671144
Jendouba ,2024,6440,15859,2375,1616,14648,5074,1904,54459,9473,9960,84966,11.14916555,11.72233599
Le Kef,0,12702,20880,4926,0,21251,14675,0,112692,19601,12702,154823,12.66026366,8.204207385
Siliana,293,0,2978,900,0,4686,1973,0,18660,3166,0,26324,12.02704756,0
Kairouan,3581,2692,36165,3828,2397,26428,11147,8398,147179,18556,13487,209772,8.845794482,6.429361402
Sousse,712,7073,31924,1128,3092,19979,3703,7874,72136,5543,18039,124039,4.468755795,14.54300664
Mahdia,1222,2424,11568,897,11,4530,2548,0,23187,4667,2435,39285,11.87985236,6.198294514
Monastir,386,52,3257,1517,69,7741,4113,177,25625,6016,298,36623,16.4268356,0.813696311
Kasserine,1851,1017,14109,1077,59,5803,3049,218,26419,5977,1294,46331,12.90064967,2.792946407
Sfax,2202,4568,18770,2610,3420,23283,5701,8228,102307,10513,16216,144360,7.282488224,11.23302854
Gabes,1263,4301,25931,3113,1154,23651,12553,3039,105057,16929,8494,154639,10.94743241,5.492792892
Kebili,1096,4009,16180,1479,1939,14225,6576,5456,83125,9151,11404,113530,8.060424557,10.04492205
Gafsa,143,0,3407,240,0,2911,810,0,17647,1193,0,23965,4.978093052,0
Sidi Bouzid,2901,6845,22299,4013,2934,38646,8382,5093,101145,15296,14872,162090,9.436732679,9.175149608
Tozeur,374,761,5923,684,992,7107,2443,2321,32697,3501,4074,45727,7.656308089,8.909397074
Medenine,1852,4943,22745,2599,2908,30012,4906,5636,94092,9357,13487,146849,6.371851358,9.184264108
Tataouin,566,732,3150,792,775,3546,1826,1828,19288,3184,3335,25984,12.25369458,12.83482143
